,deu,nds
10561,Aus der Ferne lügt es sich leicht.,Ut de Feern lüggt sik dat licht.
16982,Lass dir die Haare schneiden!,Laat di de Hoor snieden.
15671,Rase doch nicht so! Musst du immer so schnell fahren?,Jaag doch nich so! Musst du ümmer so hart föhren?
3061,Es ist fast sechs Uhr.,Dat is binah Klock söss.
10126,Sie kaufte ihm einen Pulli.,Se hett em en Pulli köfft.
10844,Das Universum hat kein Ende.,Dat Universum hett keen Enn.
13041,"Die Hand hat fünf Finger: den Daumen, den Zeigefinger, den Mittelfinger, den Ringfinger und den kleinen Finger.","De Hand hett fief Fingers: den Dumen, den Wiesfinger, den Middelfinger, den Ringfinger un den lütten Finger."
2228,Er fährt oft das Auto seines Vaters.,He föhrt faken dat Auto vun sien Vadder.
3749,Ich habe gestern ein rotes Auto gekauft.,Ik heff güstern en root Auto köfft.
44407,Er studierte Rechtswissenschaften an der Universität Göttingen und legte sein Staatsexamen 1817 am Obergericht in Celle ab.,He hett Juristeree an de Universität Göttingen studeert un sien Staatsexamen 1817 an dat Obergericht Celle maakt.
4888,Sie verließ das Heim mit all ihrer Habe.,Se is vun Tohuus mit all ehr Backbeern aftrocken.
22516,Später bezeichnete er diesen Schritt als den größten Fehler seines Lebens.,Later beteken he dat as den gröttsten Fehler in sien Leven.
13199,Er lag da mit seinen zusammen gebundenen Beinen.,He leeg dar mit sien Been tohoopbunnen.
2391,"Was er mir sagte, erschreckte mich.","Wat he mi seggen deed, hett mi verfehrt."
38799,"Sein Frühwerk gehört zum Realismus, von dem er sich immer weiter weg entwickelte.","Sien Fröhwerk hörrt to den Realismus, vun de he sück ümmer wieder weg entwkel."
11393,Er singt gerne Volkslieder.,He singt geern Volksleder.
4962,"Sieht aus wie Latein, ist es aber nicht.",Sit ut wi Latien iss et aver net.
15054,Tränen schossen ihr in die Augen.,Tranen schöten ehr in de Ogen.
17293,Vielleicht fährt Tom erst im nächsten Frühjahr nach Boston.,Villicht föhrt Tom ierst tokamen Freuhjohr na Boston.
12602,Ich ziehe mich an und dann möchte ich frühstücken.,Ik trecken mi an un denn will ik fröhstücken.
22054,"Yokohama im Süden Tokios hat mit 3,6 Millionen Einwohnern etwa ebenso viele Einwohner wie Berlin oder Madrid.","Yokohama in'n Süden vun Tokio hett mit 3,5 Millionen Inwahners liek so veel Inwahners as Berlin oder Madrid."
2503,Ich habe einige Briefmarken in meiner Aktentasche.,Ik heff en paar Breevmarken in mien Aktentasch.
11886,Wie lange gedenkst du hier zu bleiben?,Wo lang wullt du hierblieven?
18790,Seinen letzten Spielfilm drehte er 2003 mit The Low Budget Time Machine.,Sien opstunns letzten Kinofilm hett he 2003 mit The Low Budget Time Machine maakt.
7667,Helsinki ist die Hauptstadt von Finnland.,Helsinki is de Hööftstadt vun Finnland.
27540,"Die Klosterkammer hat ihren Sitz in der Oststadt von Hannover, unweit der Hochschule für Musik, Theater und Medien Hannover.","De Kloosterkamer hett ehren Seet in de Ooststadt vun Hannover, nich wiet vun de Hoogschool för Musik, Theater un Medien Hannover."
16197,Tom war draußen.,Tom wöör buten.
6649,Die Schüler schätzen ihren Lehrer sehr.,De Schölers estemeert jemehr Schoolmeester temlich.
11251,Was für Musik hast du gehört?,Wat för Musik hest du höört?
11776,Kannst du für mich ein Taxi bestellen?,Kannst du en Taxi för mi bestellen?
13921,Hast du selbst Jura studiert?,Hest du sülvs Juristeree studeert?
4150,Er hat uns angelogen.,He hett uns anlagen.
5429,"Wir verkaufen Teller aus Metall, aus Papier und aus Holz.","Wi verkööpt Tellers ut Metall, ut Papier un ut Holt."
40692,"Der weiße Diagonalstreifen bedeutet Frieden, Freiheit und Ruhe.","De witt Diagonalstriepen bedüüd Freden, Freeheit un Roh."
5756,Wie lautet deine neue Telefonnummer?,Wat is dien nee’e Telefoonnummer?
15298,Er ist wie ein Zebra unter Pferden.,He is as en Zebra mang Beer.
14002,Das geht dich gar nichts an!,Dat geiht di gornix an!
1945,Der Verein wurde 1990 gegründet.,De Vereen is 1990 grünnt worrn.
9254,Der Kolibri ist der kleinste Vogel der Welt.,De Kolibri is de lüttste Vagel op de Welt.
18762,Aus technischer Sicht hat die Brennblase einige Nachteile.,Ut technische Sicht hett de Brennblaas en paar Nadelen.
1039,Die Rechnung muss heute bezahlt werden.,De Tell mutt vondaag betahlt warrn.
3478,Dieses Jahr ist der Sommer kalt.,Dit Jahr is de Sommer koolt.
43319,"Michael „Mike“ Hill (* 1952 in Omaha, Nebraska) ist ein US-amerikanischer Filmeditor.","Michael J. Hill (* 1952 in Omaha, Nebraska) is en US-amerikaanschen Filmeditor."
40154,"Er nahm an insgesamt 197 Sechstagerennen teil, von denen er 38 gewann, 13 davon gemeinsam mit dem deutschen Rennfahrer Andreas Kappes.","He hett an all tosommen 197 Sössdaagrennen deelnommen, vun de he 38 winnen kunn un dorvan 13 tosommen mit den düütschen Rennfohrer Andreas Kappes."
15739,Mein Traum ist wahr geworden.,Mien Droom is wohr worrn.
13120,"Wenn er Zeit hat, kommt er.","Wenn he Tied hett, kummt he."
17128,Bist du mit deinem Leben zufrieden?,Büst du mit dien Leven tofreden?
43794,Auch für diese Filmmusik gab es eine Golden-Globe-Nominierung.,Ok för düsse Filmmusik kreeg he en Golden-Globe-Nomineeren.
28963,Seinen lebenslangen Freund Karl Malden lernte er während des Zweiten Weltkriegs bei der Air Force kennen.,Sien levenslangen Früend Karl Malden hett he wiels den Tweeten Weltkrieg bi de Air Force kennen lehrt.
29089,Als Experte beriet er Christopher Nolan bei dessen Film Interstellar und agierte als ausführender Produzent.,As Experte hett he Christopher Nolan bi de sien Film Interstellar beraaden un weer as utführen Produzent tätig.
4301,Was macht er?,Wat deit he?
24784,Nach ihm wurde der Asteroid (2959) Scholl = 1983 RE2 benannt.,Nah em is de Asteroid (2959) Scholl = 1983 RE2 nöömt wurrn.
15918,Das habe ich nicht gesehen.,Dat heff ik nich sehn.
15427,Das rote Kleid schaut gut an ihr aus.,Dat rode Kleed lett goot an ehr.
5200,Fräulein Meier ist sehr schön.,Frölen Meier is temlich smuck.
11735,"Ich habe über das, was du mir gesagt hast, nachgedacht.","Ik heff dar över nadacht, wat du mi seggt hest."
21675,Connery besitzt Häuser in Andalusien und auf den Bahamas.,Connery hett Hüüs in Andalusien un op de Bahamas.
33967,Im Deutschen ist diese Wurzel in Kattun präsent.,In Düütsch is düsse Wörtel in Kattun präsent.
9351,"Ich weiß nicht, was ich nun tun soll.","Ik weet nich, wat ik nu doon schall."
10758,Das Fenster ist aus Glas.,Dat Finster is ut Glas.
23667,Sie zählt zu den Offenen Spielen und entwickelt sich aus dem Königsspringerspiel (oder seltener mit Zugumstellung aus dem Mittelgambit).,Se tellt to de Apen Spelen un entwkel sück ut dat Königsspringerspeel (oder langs mit Toogumstellung ut dat Middelgambit).
35588,Seine Einheit kämpfte gegen die Truppen von Charles Edward Stuart während des Zweiten Jakobitenaufstandes.,Sien Eenheit hett gegen de Truppen vun Charles Edward Stuart wiels den Tweeten Jakobitenupstand kämpt.
23289,Die Ursachen für die Verdrängung sind teilweise komplex und noch ungenügend erforscht.,De Oorsaken för de Verdrängung sünd deelwies komplex un noch ungenügend utforst.
10023,Ich lebe in Kanton.,Ik leef in Kanton.
9379,Die beiden Brüder starben.,De beden Broder sünd doodbleven.
7595,Ich habe den ganzen Tag gearbeitet; ich bin sehr müde.,Ik heff ’n helen Dag arbeidt; ik bün ganz mööd.
630,Er ist gestern in Tokyo angekommen.,He is güstern in Tokyo ankamen.
11960,Im Herbst ziehen viele Vögel in den Süden.,In ’n Harvst treckt veel Vagels na Süden.
21425,Zwischen 1985 und 1990 war die alte Brennerei (Linkwood A) geschlossen.,Twüschen 1985 un 1990 is de all Brenneree (Linkwood A) dicht wesen.
28582,"Bis auf Nordfriesland, wo die friesischen Farben beliebt sind, ist die schleswig-holsteinische Flagge überall im Land z. T. stark verbreitet.","Bit op Noordfreesland, wo de freeschen Farven beleevt sünd, is de sleswig-holsteensch Flagg överall in dat Land to'n Deel stark verbreedt."
522,"Wenn ich sterben sollte, wer würde sich dann um meine Kinder kümmern?","Wenn ik doodblieven schölen, ’keen deed sik denn üm mien Kinner kümmern?"
29633,Sie hatte lange das kommerzielle Management des Festivals organisiert.,Se harr lang dat kommerzielle Management vun dat Festival organiseert.
10935,Tokyo ist größer als Rom.,Tokyo is grötter as Room.
43995,Das Album wurde mit Gold ausgezeichnet.,Dat Album is mit Gold uttekent worrn.
11783,"Nein, du kennst dich nicht mit Java aus. Du kennst JavaSCRIPT.","Nee, du kennst di nich mit Java ut. Du kennst JavaSCRIPT."
9042,Er saß auf dem Bett.,He seet op ’t Bedd.
12730,Ich suche Bücher über die Geschichte Roms.,Ik söök Böker över de Geschicht vun Room.
10513,Jetzt mag ich kein Bier.,Nu mag ik keen Beer.
15612,"In den zehn Jahren nach der letzten Zählung ist die Einwohnerzahl um 7,15 % geschrumpft.","In de teihn Jahr na ’n letzten Zensus is de Inwahnertall üm 7,15% daalt."
3497,Ich bin nicht Ihr Spielzeug.,Ik bün nich dien Speeltüüg.
40045,"Gudrun Genest war auch die Erzählstimme in der Fernseh-Zeichentrickserie Puschel, das Eichhorn.","Gudrun Genest weer ok de Vertellerstimm in de Feernseh-Tekentrkreeg Puschel, das Eichhorn."
18754,Über zwei antigengebundene IgG wird das Komplementsystem aktiviert.,Över twee antigenbunnen IgG warrt dat Komplementsystem aktiveert.
32331,Der erste Rektor ist Hermann Bonnus.,De eerste Rektor weer Hermann Bonnus.
20068,Er übertrug seine Ergebnisse auch auf verwandte Stoffgruppen wie die Carborane.,He hett sien Ergevnisse ok op verwandt Stoffgruppen as de Carborane överdragen.
4080,Ich schwimme gern.,Ik swemm geern.
17244,Maria ist größer als ich.,Ria is grötter as ik.
25058,In den Wirren des Zweiten Weltkriegs verbrachte Gretschko seine gesamte Kindheit in der Ukraine und kehrte erst 1944 nach Leningrad zurück.,In den Wirren vun den Tweeten Weltkrieg hett Gretsko sien gesamte Kindheet in de Ukraine verbrocht un kehr eerst 1944 nah Leningrad torüch.
14538,Telefon für dich.,Telefoon för di.
37525,"An und auf der Harle ist der Wassertourismus von Bedeutung, für Angler ebenso wie für Bootfahrer und Kanuten.","An un op de Harle is de Watertourismus vun Bedüüden, för Angler evenso as för Bootfohrer un Kanuten."
9916,Sie raucht viel.,Se smöökt veel.
6720,Sei nett zu alten Leuten.,Wees nett to ole Lüüd.
44232,Im Anschluss an die High School studierte Stafford an der Marineakademie in Maryland und erwarb im Jahr 1952 ein Ingenieursdiplom mit Auszeichnung.,In’ Ansluss an de High School hett Stafford an de Marineakademie in Maryland studeert un kreeg dar 1952 en Ingenieursdiplom mit Utteknung.
9339,Heute ist der 20. Tag im Ordibeheshtmonat.,Vondaag is de 20. Dag vun ’n Maand Ordibehesht.
10237,Ist das ein allgemeiner Brauch in deinem Land?,Is dat en allgemeen Bruuk in dien Land?
124,Rom ist nicht an einem Tage erbaut worden.,Room is nich an een Dag boot worrn.
11381,Die Brille steht dir gut.,De Brill steiht di goot.
3520,"Als ich aufwachte, schneite es.","As ik opwaken deed, deed dat sneen."
2077,Sie isst nur Gemüse.,Se itt man bloot Grööntüüg.
353,Tiger sind größer und stärker als Katzen.,En Tiger is grötter un stärker as en Katt.
32301,"Es kam zu zahlreichen Aufnahmen für die Plattenfirmen Paramount Records, Gennett Records, Vocalion Records, Victor Records und Columbia Records.","Dat keem to tallriek Op för de Plattenfirmen Paramount Records, Gennett, Vocalion, Victor un Columbia Records."
12294,Dieser Computer spart uns eine Menge Arbeit.,Disse Computer spoort uns en Barg Arbeit.
9805,Dieses Buch brachte mich richtig zum Lachen.,Dit Book hett mi düchtig to ’n Lachen bröcht.
41490,Aufnahmen neuer Kompositionen wurden immer seltener.,Op vun nee Kompositschonen wurrn ümmer langs.
96,"Du bist an meiner Seite, jetzt ist alles gut.","Du büst an mien Sied, nu is allens goot."
10491,Was ist der höchste Berg Japans?,Wat is de höögste Barg vun Japan?
7213,"Ich, du, er, sie, es, wir, ihr, sie sind Personalpronomen.","Ik, du, he, se, dat, wi, ji, se sünd Personalpronomen."
24409,Im Jahr 2000 lebten 202 Menschen im Reservat.,In dat Jahr 2000 levten 202 Minschen in’t Reservat.
15664,"Das ist ein trauriges Haus, wo die Henne lauter kräht als der Hahn.","Dat is en leeg Huus, wo de Hehn luder kreiht as de Hahn."
1242,Willkommen!,Willkamen!
5299,Das Haus brach unter der Last des Schnees zusammen.,Dat Huus is ünner de Last vun ’n Snee tohoopsackt.
30078,"Im Jahr 2003 wurde im Großen Hund die der Milchstraße am nächsten liegende Galaxie, die Canis-Major-Zwerggalaxie, entdeckt.","In’t Jahr 2003 is in’n Groten Hund de Galaxie opdeckt worrn, de an dichtsten an de Melkstraat liggt: de Canis-Maior-Dwarggalaxie."
31255,Ihre Eltern benannten sie nach der Figur der Lara aus Doktor Schiwago.,Ehrn Naam hett se vun de Figur Lara ut Dokter Schiwago.
12515,"Wer nach dem Hund werfen will, wird wohl einen Stock finden.","De ’n Hund smieten will, kann woll en Knüppel finnen."
29326,Von den jüngeren Angehörigen des Kreisauer Kreises und dem sozialistischen Widerstand wurden sie deshalb abgelehnt.,Vun de jüngere Liddmaaten vun den Kreisauer Kreis un den sozialistischen Wedderstand wurrn se darüm aflehnt.
37366,In der Stadt befindet sich die Universität al-Qadarif.,In de Stadt liggt de histoorsche Universität Alcalá.
18195,"Der Landkreis Wittmund errichtete das Krankenhaus von 1965 bis 1968 für rund 11,5 Millionen DM.","De Landkreis Wittmund hett dat Krankenhuus vun 1965 bet 1968 för rund 11,5 Million DM erstellt."
33647,Nach dem Krieg konzentrierte er sich auf die Anwendung der Mikrowellentechnologie aus der Radarforschung in der Spektroskopie.,Nah den Krieg konzentreer he sück op dat Anwenn vun de Mikrowellentechnologie ut de Radarforschung in de Spektroskopie.
12849,Der Hund meines Nachbarn will kein Trockenfutter fressen.,De Hund vun mien Naver will keen Dröögfoder freten.
16370,Der kleinste Erdteil ist Australien.,De lüttste Eerddeel is Australien.
16715,Das war nicht meine Schuld.,Dat weer nich mien Schuld.
21365,Er beschäftigte sich mit Studien über Geschlechtshormone und Vitamin K1 (Phyllochinon) und Vitamin K2 (Menachinon).,He hett sück mit Studien över Geslechtshormone un Vitamin K1 (Phyllochinon) un Vitamin K2 (Menachinon) befaat.
685,Das Bild sieht besser von weitem aus.,Dat Bild sütt vun wieden beter ut.
17927,"2011 hatte die Kampagne 200 Mitgliedsorganisationen in 60 Ländern, 2017 sind es 468 Organisationen in 101 Ländern.","2011 harr de Kampagne 200 Liddmaatsorganisatschonen in 60 Länner, 2017 sünd dat 468 Organisationen in 101 Länner."
15807,Jammern ändert auch nichts.,Gnaddern ännern ok nix.
4699,Ich fahre gern Ski.,Ik föhr geern Ski.
13804,Ich hatte vergangene Woche einen Unfall mit meinem Segway.,Ik harr vergangen Week en Unfall mit mien Segway.
27893,An der linken Hand trug der Tote einen Ring aus Bronze.,An de linke Hand hett de Dode en Ring ut Bronz dregen.
5634,"Nein, ich singe nicht.","Nee, ik singen nich."
1828,Ein Reicher muss eine hohe Einkommenssteuer bezahlen.,En Rieken mutt en hoge Inkamensstüür betahlen.
30173,Wie viele Gitarristen seiner Generation war er von seinem Idol Charlie Christian geprägt.,So as veel Gitarristen vun sien Generation weer he vun Charlie Christian präägt.
14960,Marie ist Toms Frau.,Marie is Tom sien Fro.
413,Er trägt eine Brille.,He driggt en Brill.
13895,Er muss es nicht essen.,He mutt dat nich eten.
7837,Sie pult in der Nase.,Se puult in ’e Nees.
28957,"Nach einer Anekdote aus Coolidges Leben ist der Coolidge-Effekt der Sexualwissenschaft benannt, der allerdings erst in den 1950er Jahren experimentell getestet wurde.","Nah en Anekdote ut Coolidge Leven is de Coolidge-Effekt vun de Sexualwetenschap nömmt, de allerdings eerst in den 1950er Johren experimentell test wurr."
16637,Sonntags bin ich nicht zuhause.,Sünndags bün ik nich to Huus.
38682,Die nächsten Jahre diente er in den sowjetischen Luftstreitkräften als Pilot und Staffelführer im Gebiet Odessa.,De nächsten Johren deen he in de sowjeetsch Luftstrietkräften as Pilot un Staffelführer in dat Rebeet Odessa.
22935,"1, die ebenfalls um 1722 von Roger in Amsterdam erstmals publiziert wurden.","1, de ebenfalls üm 1722 vun Roger in Amsterdam eerstmals publizeert wurrn."
1974,Fabre schrieb Bücher über Insekten.,Fabre hett Böker över Insekten schrieven.
41866,1958 bis 1960 ging er mit Louis Armstrong und seiner All Star Band auf Welttournee.,1958 bet 1960 gung he mit Louis Armstrong un sien All Star Band op Welttournee.
25706,"1974 wechselte sie in die Abteilung für Strukturchemie, wo sie ab 1984 eine außerordentliche Professur innehatte.","1974 wessel se in de Afdeelen för Strukturchemie, wo se af 1984 en buterordentliche Professur inneharr."
9849,Sie hat ihm vergeben.,Se hett em vergeven.
11304,Kolumbus hat Amerika entdeckt.,Kolumbus hett Amerika opdeckt.
11160,"Es sind zu viele, um sie zu zählen.","Dat sünd toveel, üm jem to tellen."
1499,Er hat drei große Schwestern.,He hett dree groot Süstern.
20653,"Caminho, 1997 (deutsch: Alle Namen.","Caminho, 1997 (düütsch: Alle Namen."
7068,"Ich habe vergessen, worum es geht.","Ik heff vergeten, wo dat üm geiht."
27795,Er gilt als der erste Virtuose der Jazz-Gitarre und trug zu seiner Zeit den Titel „Mr. Guitar“.,He gellt as de eerste Virtuose vun de Jazz-Gitarr un droog to sien Tiet den Ökelnaam „Mr. Guitar“.
14909,Er wollte mir nicht die Hand schütteln.,He woll mi nich de Hand schüdden.
27499,Im Jahre 1977 erhielt Brodsky die US-amerikanische Staatsbürgerschaft.,1977 is Brodsky in de USA inborgert wurrn.
29667,"Bei dieser Methode bleibt ein Teil des natürlichen Lebensraumes erhalten, was mit einer deutlich höheren Artenvielfalt einhergeht.","Bi düsse Methood blifft en Deel vun den natürlichen Levensruum erhollen, wat mit en düütlich höhgere Aartenvölfalt verbunnen is."
